,Ciclo Agricola,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo Sin Um,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valor produccion,Fertilizante N (kg/ha),Nin_kg
8250,2013,26,Sonora,148,Cajeme,3,Bcum,18,Cajeme,3,Perennes,1,Riego,200201,Tonelada,7850000,Naranja,262.0,150.0,0.0,3000.0,20,"$1,900.00","$5,700,000.00",160,41920.0
8251,2013,26,Sonora,148,Cajeme,3,Bcum,18,Cajeme,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,149.0,100.0,0.0,60.0,0.6,"$60,000.00","$3,600,000.00",90,13410.0
8252,2013,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,5740000,Calabacita,332.0,332.0,0.0,4648.0,14,"$3,800.00","$17,662,400.00",110,36520.0
8253,2013,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,6120000,Chile verde,131.0,131.0,0.0,4170.6,31.84,"$5,354.08","$22,329,728.26",200,26200.0
8254,2013,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,6840000,Frijol,98.0,98.0,0.0,156.8,1.6,"$14,000.00","$2,195,200.00",100,9800.0
8255,2013,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,6900000,Garbanzo grano,305.0,305.0,0.0,732.0,2.4,"$13,300.00","$9,735,600.00",18,5490.0
8256,2013,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,7490000,Maz grano,3517.0,1767.0,1750.0,10955.4,6.2,"$3,524.06","$38,607,486.92",280,984760.0
8257,2013,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,8100000,Papa,650.0,650.0,0.0,19500.0,30,"$7,950.00","$155,025,000.00",110,71500.0
8258,2013,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,8970000,Tomate rojo (jitomate),155.0,133.0,22.0,9472.8,71.22,"$5,741.50","$54,388,120.00",200,31000.0
8259,2013,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,25282.0,25282.0,0.0,184590.3,7.3,"$3,580.38","$660,903,344.47",280,7078960.0
8260,2013,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,2,Primavera-Verano,1,Riego,200201,Tonelada,5190000,Algodn hueso,61.0,61.0,0.0,213.5,3.5,"$6,200.00","$1,323,700.00",375,22875.0
8261,2013,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,93.0,93.0,0.0,139.5,1.5,"$13,500.00","$1,883,250.00",100,9300.0
8262,2013,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maz grano,148.0,148.0,0.0,740.0,5,"$3,250.00","$2,405,000.00",280,41440.0
8263,2013,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,2,Primavera-Verano,1,Riego,200201,Tonelada,8810000,Sorgo grano,550.0,550.0,0.0,2750.0,5,"$2,900.00","$7,975,000.00",190,104500.0
8264,2013,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,595.0,595.0,0.0,7973.0,13.4,"$1,839.85","$14,669,124.05",24,14280.0
8265,2013,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,3,Perennes,1,Riego,200201,Tonelada,7850000,Naranja,439.0,390.0,0.0,720.0,1.85,"$2,200.00","$1,584,000.00",160,70240.0
8266,2013,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,130.0,0.0,0.0,0.0,0, $-   , $-   ,90,11700.0
8267,2013,26,Sonora,148,Cajeme,5,Vicam,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,4350.0,4350.0,0.0,30011.52,6.9,"$3,569.80","$107,135,246.59",280,1218000.0
8268,2013,26,Sonora,148,Cajeme,5,Vicam,18,Cajeme,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,144.0,144.0,0.0,1929.6,13.4,"$1,800.00","$3,473,280.00",24,3456.0
8269,2012,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,5740000,Calabacita,155.0,155.0,0.0,2204.1,14.22,"$6,245.23","$13,765,111.44",110,17050.0
8270,2012,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,6120000,Chile verde,285.0,285.0,0.0,4218.0,14.8,"$4,175.44","$17,612,005.92",200,57000.0
8271,2012,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,6840000,Frijol,598.0,598.0,0.0,956.8,1.6,"$14,500.00","$13,873,600.00",100,59800.0
8272,2012,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,6900000,Garbanzo grano,1490.0,1490.0,0.0,3725.0,2.5,"$13,500.00","$50,287,500.00",18,26820.0
8273,2012,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,7490000,Maz grano,1600.0,1600.0,0.0,10080.0,6.3,"$3,900.00","$39,312,000.00",280,448000.0
8274,2012,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,8100000,Papa,2435.0,2435.0,0.0,73050.0,30,"$5,900.00","$430,995,000.00",110,267850.0
8275,2012,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,8970000,Tomate rojo (jitomate),124.0,124.0,0.0,7319.2,59.03,"$3,129.85","$22,907,980.00",200,24800.0
8276,2012,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,30959.0,30959.0,0.0,226005.52,7.3,"$3,518.86","$795,281,122.50",280,8668520.0
