id_ptar,nom_ptar,Proceso de tratamiento,NRE,nom_loc,cap_inst,caud_trat,LONGITUD,LATITUD,%ut,Monto
2936,El Manguito,Fosa Séptica,85,El Manguito,0.81,0.6,-107.315,24.4197,74.07%," $16,800.00 "
99,Zaragoza,Lagunas Aireadas,60,Mexicali,1300,958,-115.4756,32.6412,73.69%," $26,824,000.00 "
2929,Camalote,Lodos Activados,67.5,El Camalote,4.1,3,-107.3019,24.379,73.17%," $84,000.00 "
3463,Laguna Colorada,Lagunas Aireadas,60,Laguna Colorada,4.1,3,-107.31,24.6824,73.17%," $84,000.00 "
1816,Navolato,Lagunas de Estabilización,60,Navolato,142.5,103,-107.6968,24.7672,72.28%," $2,884,000.00 "
2310,"Culiacán ""Sur""",Lodos Activados,67.5,Culiac n Rosales,550,393,-107.3938,24.8088,71.45%," $11,004,000.00 "
5309,Portugués de Gálvez,Lagunas de Estabilización,60,Portugués de Gálvez,4.2,3,-108.3959,25.7277,71.43%," $84,000.00 "
4179,Valentín Gómez Farías,Fosa Séptica,85,VALENTIN GOMEZ FARIAS,2.8,2,-108.1642,25.1738,71.43%," $56,000.00 "
5306,La Brecha,Lagunas de Estabilización,60,La Brecha,5.63,4,-108.4217,25.3689,71.05%," $112,000.00 "
5313,Santa Fe,Lodos Activados,67.5,Mazatlán,48,34.06,-106.4222,23.2003,70.96%," $953,680.00 "
3382,Pueblos Unidos,Lagunas Aireadas,60,Pueblos Unidos,27.5,19.5,-107.1511,24.2924,70.91%," $546,000.00 "
2274,La Noria,Lagunas de Estabilización,60,La Noria de San Antonio (La Noria),2.7,1.9,-106.3134,23.507,70.37%," $53,200.00 "
113,Loreto,Lodos Activados,67.5,Loreto,60,42,-111.3433,26.0128,70.00%," $1,176,000.00 "
1068,San Ignacio I,Reactor Enzimatico,45,San Ignacio,2,1.4,-106.4255,23.9403,70.00%," $39,200.00 "
1066,Cabazán,Reactor Enzimatico,45,Cabazán,1,0.7,-106.4922,23.8903,70.00%," $19,600.00 "
3779,Urías,Lodos Activados,67.5,Mazatlán,220,153.9,-106.4222,23.2003,69.95%," $4,309,200.00 "
3381,El Tamarindo,Lagunas de Estabilización,60,Adolfo López Mateos (El Tamarindo),15.8,11,-107.6305,24.8969,69.62%," $308,000.00 "
3379,Costa Azul,Lagunas de Estabilización,60,Costa Azul,4.6,3.2,-108.1377,25.1028,69.57%," $89,600.00 "
3838,Ejido Tecomate,Fosa Septica + Wetland,85,Ejido El Tecomate,0.58,0.4,-108.3566,25.5758,68.97%," $11,200.00 "
2273,El Saladito - Arroyitos,Fosa Séptica,85,El Saladito,4.7,3.2,-106.8484,23.8693,68.09%," $89,600.00 "
3472,San Antonio,Fosa Septica + Wetland,85,San Antonio,1.2,0.8,-108.553,25.5449,66.67%," $22,400.00 "
4279,Benito Ju rez,Lagunas de Estabilización,60,Benito Juárez,0.6,0.4,-106.7817,23.924,66.67%," $11,200.00 "
3000,Matacahui,Fosa Septica + Wetland,85,Matacahui (El Campito),0.3,0.2,-109.3516,26.0625,66.67%," $5,600.00 "
3667,La Primavera,Fosa Septica + Filtro Biologico,85,La Primavera,0.3,0.2,-108.184,25.3773,66.67%," $5,600.00 "
3668,Cerro de Abajo,Filtro biológico,45,Cerro de Abajo,0.3,0.2,-108.0815,25.2302,66.67%," $5,600.00 "
98,Ciudad Morelos,Lagunas Aireadas,60,Ciudad Morelos (Cuervos),30,20,-114.8647,32.6315,66.67%," $560,000.00 "
3774,Ceuta,Fosa Septica + Wetland,85,Ceuta,3,2,-106.9287,23.9013,66.67%," $56,000.00 "
2282,Muellecito,Fosa Septica + Wetland,85,L zaro C rdenas (Muellecito),1.8,1.2,-108.9688,25.5997,66.67%," $33,600.00 "
4250,Otameto,Fosa Septica + Wetland,85,Otameto,1.5,1,-107.7385,24.7297,66.67%," $28,000.00 "
4252,El Limoncito,Fosa Septica + Wetland,85,"Limoncito, El",1.5,1,-107.7371,24.7588,66.67%," $28,000.00 "
4253,Lo de Reyes,Fosa Septica + Wetland,85,Lo de Reyes,1.5,1,-107.7706,24.7606,66.67%," $28,000.00 "
5314,El Bledal,Lagunas de Estabilización,60,El Bledal,1.5,1,-107.809,24.8235,66.67%," $28,000.00 "
5315,Las Puentes,Fosa Séptica,85,Las Puentes,1.5,1,-107.5402,24.5326,66.67%," $28,000.00 "
4281,El Carrizo,Fosa Septica + Wetland,85,Ejido La Ventana (El Carrizo),0.9,0.6,-106.8527,24.0152,66.67%," $16,800.00 "
747,Norte,Lagunas Aireadas,60,Ciudad Obreg¢n,850,557.82,-109.9327,27.4965,65.63%," $15,618,960.00 "
2939,Huitussi,Fosa Séptica,85,El Huitussi,5,3.2,-108.7754,25.5098,64.00%," $89,600.00 "
3191,Las Americas,Fosa Septica + Wetland,85,Las Americas,2.43,1.55,-108.3104,25.5883,63.79%," $43,400.00 "
3773,Emiliano Zapata,Fosa Septica + Wetland,85,Emiliano Zapata,3,1.9,-106.9234,24.0643,63.33%," $53,200.00 "
1620,Unión Fenosa - CFE,Lodos Activados,67.5,Hermosillo,110,69.2,-111.5267,28.6403,62.91%," $1,937,600.00 "
2836,La Ribera,Lodos Activados,67.5,La Ribera,5.6,3.5,-109.5861,23.5966,62.50%," $98,000.00 "
3891,Colonia Buenos Aires,Fosa Septica + Wetland,85,Colonia Buenos Aires,0.8,0.5,-107.0288,24.0815,62.50%," $14,000.00 "
3474,Altata,Lodos Activados,67.5,Altata,13.3,8.3,-107.931,24.6358,62.41%," $232,400.00 "
3776,El Aguaje,Fosa Septica + Wetland,85,El Aguaje,2,1.2,-106.8359,24.0995,60.00%," $33,600.00 "
3376,Paredones,Fosa Septica + Wetland,85,Paredones,2,1.17,-108.9891,25.6664,58.50%," $32,760.00 "
3836,Las Quemazones,Fosa Septica + Wetland,85,Las Quemazones,3.1,1.8,-108.4505,25.6869,58.06%," $50,400.00 "
4182,El Castillo,Lodos Activados,67.5,"Castillo, El",15,8.7,-107.7024,24.5436,58.00%," $243,600.00 "
4484,Cohuibampo,Discos Biológicos o Biodiscos,45,Cohuibampo,12,6.93,-109.1598,25.9426,57.75%," $194,040.00 "
3470,Casa Blanca,Lagunas de Estabilización,60,Casa Blanca,2.6,1.5,-108.4244,25.4307,57.69%," $42,000.00 "
3671,Norponiente,Lodos Activados,67.5,Mazatlán,400,228.8,-106.4222,23.2003,57.20%," $6,406,400.00 "
5305,La Bebelama,Fosa Séptica,85,La Bebelama,1.4,0.8,-108.4899,25.4785,57.14%," $22,400.00 "
3469,Las Culebras,Fosa Septica + Wetland,85,Las Culebras,1.4,0.8,-108.5454,25.3937,57.14%," $22,400.00 "
4178,Playa Colorada,Lagunas de Estabilización,60,Playa Colorada,1.6,0.9,-108.3243,25.2896,56.25%," $25,200.00 "
3669,Leopoldo S nchez Celis,Lodos Activados,67.5,Leopoldo S nchez Celis,18,10,-107.3771,24.4481,55.56%," $280,000.00 "
2145,La Entrada,Fosa Septica + Wetland,85,Ejido La Entrada (El Poblado),1.8,1,-108.5817,25.5962,55.56%," $28,000.00 "
3957,Renacimiento del Valle,Lodos Activados,67.5,Renacimiento del Valle,6,3.33,-115.3312,32.3427,55.50%," $93,240.00 "
2573,Guadalupe Victoria,Lagunas Aireadas,60,Ciudad Guadalupe Victoria (Kilometro Cuarenta y Tres),70,38.76,-115.1031,32.2885,55.37%," $1,085,280.00 "
1065,El Castillo,Lodos Activados,67.5,El Castillo,8.9,4.9,-106.3395,23.1947,55.06%," $137,200.00 "
5299,Los Becos,Fosa Séptica,85,Los Becos,1.5,0.82,-107.2862,24.6439,54.67%," $22,960.00 "
1501,La Rosita,Lodos Activados,67.5,Mexicali,440,238,-115.4756,32.6412,54.09%," $6,664,000.00 "
3027,Mesa Colorada,Lodos Activados,67.5,Cabo San Lucas,150,80,-109.9252,22.897,53.33%," $2,240,000.00 "
3695,La Sonorena,Lodos Activados,67.5,San Jos‚ del Cabo,150,80,-109.6947,23.0616,53.33%," $2,240,000.00 "
2938,Estacion Bamoa,Lagunas de Estabilización,60,Estacion Bamoa (Campo Wilson),28.2,15,-108.3137,25.7055,53.19%," $420,000.00 "
2578,San Luis Río Colorado,Lagunas de Estabilización,60,San Luis Rio Colorado,600,315.96,-114.7796,32.4798,52.66%," $8,846,880.00 "
3880,Sanalona,Lodos Activados,67.5,Sanalona,4,2,-107.1385,24.8015,50.00%," $56,000.00 "
3883,El Conchal,Lodos Activados,67.5,"Conchal, El",4,2,-107.3292,24.2429,50.00%," $56,000.00 "
3959,Tepuche,Lodos Activados,67.5,"Tepuche, El",4,2,-107.3476,24.9437,50.00%," $56,000.00 "
3963,Agua Caliente de los Monzón,Lodos Activados,67.5,Agua Caliente de los Monzón,4,2,-107.3863,24.9324,50.00%," $56,000.00 "
3964,Península de Villamoros,Lodos Activados,67.5,Pen¡nsula de Villamoros,4,2,-107.2224,24.1666,50.00%," $56,000.00 "
3471,Flor de Mayo,Fosa Septica + Wetland,85,Flor de Mayo,0.7,0.35,-108.6608,25.5328,50.00%," $9,800.00 "
3785,Doce de Octubre,Fosa Septica + Filtro Biologico,85,Doce de Octubre,0.4,0.2,-108.1631,25.1465,50.00%," $5,600.00 "
3787,Batamotos,Fosa Septica + Filtro Biologico,85,Batamotos,0.4,0.2,-108.0576,25.3888,50.00%," $5,600.00 "
1223,Los Planes,Lodos Activados,67.5,San Juan de los Planes,3.5,1.7,-109.935,23.9679,48.57%," $47,600.00 "
2973,Estacion Coahuila,Lagunas Aireadas,60,Ciudad Coahuila (Kilometro Cincuenta y Siete),20,9.7,-115.0012,32.195,48.50%," $271,600.00 "
3772,Celestino Gazca,Lagunas de Estabilización,60,Celestino Gazca Villaseñor,3,1.4,-106.8804,23.8195,46.67%," $39,200.00 "
5364,Emilio Portes Gil,Lagunas de Estabilización,60,Emilio Portes Gil,0.86,0.4,-108.5634,25.5899,46.51%," $11,200.00 "
